customer_id,churn_proba,ltv_inr,offer,offer_cost_inr,offer_benefit_inr,offer_net_inr,roi_per_rupee,risk_segment,customer_value_segment
9874-QLCLH,0.6162067914320307,972.78,Courtesy call,40.0,89.92,49.92,2.248,High,High
8625-AZYZY,0.6134907906764876,976.99,Courtesy call,40.0,89.91,49.91,2.248,High,High
1731-TVIUK,0.6865119701501511,872.89,Courtesy call,40.0,89.89,49.89,2.247,High,High
1389-CXMLU,0.7049427804766293,850.02,Courtesy call,40.0,89.88,49.88,2.247,High,High
3588-WSTTJ,0.64799683033032,924.71,Courtesy call,40.0,89.88,49.88,2.247,High,High
1579-KLYDT,0.709177344969059,844.42,Courtesy call,40.0,89.83,49.83,2.246,High,High
8622-ZLFKO,0.7069909811286734,847.22,Courtesy call,40.0,89.85,49.85,2.246,High,High
2612-RANWT,0.6404206194984865,934.97,Courtesy call,40.0,89.82,49.82,2.245,High,High
3336-JORSO,0.5796968646979694,1031.13,Courtesy call,40.0,89.66,49.66,2.242,High,High
8087-LGYHQ,0.6800282779401495,878.03,Courtesy call,40.0,89.56,49.56,2.239,High,High
6029-WTIPC,0.632451518319138,943.84,Courtesy call,40.0,89.54,49.54,2.238,High,High
3587-PMCOY,0.4656803279323071,1279.51,Courtesy call,40.0,89.38,49.38,2.234,Medium,High
8168-UQWWF,0.6519388933018757,913.5,Courtesy call,40.0,89.33,49.33,2.233,High,High
6583-KQJLK,0.6740118079918213,883.63,Courtesy call,40.0,89.34,49.34,2.233,High,High
2025-JKFWI,0.643195020489703,924.24,Courtesy call,40.0,89.17,49.17,2.229,Medium,High
4853-OITSN,0.714174358819772,832.28,Courtesy call,40.0,89.16,49.16,2.229,High,High
4735-ASGMA,0.646865524267821,918.17,Courtesy call,40.0,89.09,49.09,2.227,High,High
5644-PDMZC,0.7105658669190235,835.55,Courtesy call,40.0,89.06,49.06,2.226,High,High
0011-IGKFF,0.6483465734783438,914.9,Courtesy call,40.0,88.98,48.98,2.224,High,High
6851-WEFYX,0.6290038658135468,941.04,Courtesy call,40.0,88.79,48.79,2.22,High,High
8868-WOZGU,0.5987645684641943,986.79,Courtesy call,40.0,88.63,48.63,2.216,High,High
7028-DVOIQ,0.6381267722243196,924.71,Courtesy call,40.0,88.51,48.51,2.213,High,High
9129-UXERG,0.6097078620689949,967.18,Courtesy call,40.0,88.45,48.45,2.211,Medium,High
2180-DXNEG,0.6571940122601385,896.23,Courtesy call,40.0,88.35,48.35,2.209,High,High
4813-HQMGZ,0.6981819033536019,842.55,Courtesy call,40.0,88.24,48.24,2.206,High,High
5937-EORGB,0.651487593838472,900.9,Courtesy call,40.0,88.04,48.04,2.201,High,High
4844-JJWUY,0.7306318277244142,802.87,Courtesy call,40.0,87.99,47.99,2.2,High,High
1583-IHQZE,0.5563294916303319,1054.47,Courtesy call,40.0,87.99,47.99,2.2,High,High
2809-ZMYOQ,0.6197690895963616,946.18,Courtesy call,40.0,87.96,47.96,2.199,High,High
0420-HLGXF,0.6276094984123446,931.24,Courtesy call,40.0,87.67,47.67,2.192,High,High
4817-VYYWS,0.6241667911988726,935.44,Courtesy call,40.0,87.58,47.58,2.19,High,High
5419-CONWX,0.6259467429351098,931.71,Courtesy call,40.0,87.48,47.48,2.187,High,High
1567-DSCIC,0.6632795214176981,877.56,Courtesy call,40.0,87.31,47.31,2.183,High,High
7892-POOKP,0.5945305594198483,978.39,Courtesy call,40.0,87.25,47.25,2.181,High,High
5178-LMXOP,0.8416701655279397,887.83,Protection bundle,120.0,261.54,141.54,2.18,High,High
6230-BSUXY,0.7314585147812014,793.54,Courtesy call,40.0,87.07,47.07,2.177,High,High
1960-UYCNN,0.6526894001750537,889.23,Courtesy call,40.0,87.06,47.06,2.176,High,High
4140-MUHUG,0.7156814606990489,810.81,Courtesy call,40.0,87.04,47.04,2.176,High,High
5150-ITWWB,0.8417030807124647,885.5,Protection bundle,120.0,260.86,140.86,2.174,High,High
8098-LLAZX,0.836253764585787,891.1,Protection bundle,120.0,260.82,140.82,2.173,High,High
1641-RQDAY,0.6178669051828598,937.31,Courtesy call,40.0,86.87,46.87,2.172,High,High
9300-AGZNL,0.8477605664357315,877.56,Protection bundle,120.0,260.39,140.39,2.17,High,High
4803-AXVYP,0.6212806970441396,929.37,Courtesy call,40.0,86.61,46.61,2.165,High,High
8443-WVPSS,0.618995693355326,932.17,Courtesy call,40.0,86.55,46.55,2.164,High,High
0147-ESWWR,0.6104667477793151,945.24,Courtesy call,40.0,86.56,46.56,2.164,High,High
2720-WGKHP,0.8438563518655489,877.56,Protection bundle,120.0,259.19,139.19,2.16,High,High
9497-QCMMS,0.8480326607467221,873.36,Protection bundle,120.0,259.22,139.22,2.16,High,High
4424-TKOPW,0.8444890993548265,876.16,Protection bundle,120.0,258.97,138.97,2.158,High,High
7024-OHCCK,0.8435681897075231,876.16,Protection bundle,120.0,258.69,138.69,2.156,High,High
3045-XETSH,0.6489934455448393,885.5,Courtesy call,40.0,86.2,46.2,2.155,High,High
9223-UCPVT,0.6517723263686219,881.29,Courtesy call,40.0,86.16,46.16,2.154,High,High
8111-SLLHI,0.5824619034019823,986.32,Courtesy call,40.0,86.17,46.17,2.154,High,High
8413-VONUO,0.6425591879436758,892.96,Courtesy call,40.0,86.07,46.07,2.152,High,High
1374-DMZUI,0.8380823921900908,880.36,Protection bundle,120.0,258.23,138.23,2.152,High,High
4325-NFSKC,0.678282112976059,845.82,Courtesy call,40.0,86.06,46.06,2.151,High,High
